username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
davcat74,2016,10,9,None,None,None,"{'Francaise': 2, 'Europeenne': 2, 'Saine': 1}",4.5,4.5,4.5,4.25,2.0,0.0,2.0
filoupet,2013,70,40,None,None,suisse,"{'Europeenne': 16, 'Francaise': 15, 'Suisse': 6, 'Internationale': 4, 'Bar': 3, 'Saine': 2, 'Pub': 2, 'Mediterraneenne': 2, 'Chinoise': 2, 'Cafe': 2, 'Asiatique': 2, 'Steakhouse': 1, 'Restauration_rapide': 1, 'Italienne': 1, 'Europe_centrale': 1, 'Brasserie_gastronomique': 1, 'Belge': 1, 'Bar_a_vins': 1}",4.1,4.19,4.09,3.78,3.32,0.29,2.28
nadinesublet54,2017,62,36,None,None,france,"{'Europeenne': 9, 'Francaise': 8, 'Suisse': 5, 'Saine': 1, 'Japonaise': 1, 'Asiatique': 1}",3.81,4.02,3.81,3.56,4.0,0.07,2.26
Laurent_Lorr,2011,237,149,35-49,H,None,"{'Francaise': 33, 'Europeenne': 28, 'Suisse': 10, 'Italienne': 8, 'Pizza': 4, 'Saine': 3, 'Mediterraneenne': 2, 'Internationale': 2, 'Indienne': 2, 'Fusion': 2, 'Europe_centrale': 2, 'Brasserie_gastronomique': 2, 'Bar': 2, 'Steakhouse': 1, 'Pub': 1, 'Portugaise': 1, 'Pakistanaise': 1, 'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.2,4.13,4.13,3.82,2.46,0.14,2.15
jimaclure,2016,42,30,None,None,france,"{'Francaise': 12, 'Saine': 5, 'Europeenne': 5, 'Suisse': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Italienne': 1}",4.31,4.41,4.35,3.98,3.14,0.55,2.57
GeorgesB322,2012,100,164,None,None,france,"{'Francaise': 46, 'Europeenne': 32, 'Saine': 3, 'Pizza': 3, 'Moderne': 3, 'Italienne': 3, 'Suisse': 2, 'Mediterraneenne': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Thai': 1, 'Libanaise': 1, 'Indienne': 1, 'Chinoise': 1, 'Brasserie_gastronomique': 1, 'Bar': 1}",4.18,3.85,3.8,3.68,2.67,0.14,1.94
yamina b,2013,12,13,35-49,F,france,"{'Vietnamienne': 2, 'Thai': 2, 'Japonaise': 2, 'Francaise': 2, 'Chinoise': 2, 'Asiatique': 2, 'Saine': 1, 'Mediterraneenne': 1, 'Libanaise': 1, 'Fusion': 1, 'Europeenne': 1}",3.92,4.06,3.81,3.78,2.28,0.0,1.72
aliator2010,2016,67,38,35-49,None,france,"{'Francaise': 8, 'Europeenne': 6, 'Suisse': 2, 'Japonaise': 2, 'Italienne': 2, 'Chinoise': 2, 'Asiatique': 2, 'Saine': 1, 'Restauration_rapide': 1, 'Pizza': 1, 'Diner': 1}",3.82,3.6,3.6,3.45,2.76,0.0,1.54
miyako74,2016,63,40,None,None,france,"{'Europeenne': 10, 'Francaise': 9, 'Italienne': 7, 'Pizza': 4, 'Indienne': 4, 'Asiatique': 4, 'Thai': 3, 'Mediterraneenne': 3, 'Saine': 2, 'Pakistanaise': 2, 'Fusion': 2, 'Vietnamienne': 1, 'Suisse': 1, 'Moderne': 1, 'Libanaise': 1, 'Japonaise': 1, 'Italie_du_Nord': 1, 'Chinoise': 1, 'Brasserie_gastronomique': 1, 'Americaine': 1}",4.12,4.26,4.1,4.02,2.84,0.11,2.06
MarcS012,2010,229,158,None,None,suisse,"{'Europeenne': 25, 'Suisse': 18, 'Francaise': 14, 'Italienne': 13, 'Pizza': 8, 'Mediterraneenne': 4, 'Europe_centrale': 4, 'Traiteur': 3, 'Steakhouse': 3, 'Asiatique': 3, 'Thai': 2, 'Pub': 2, 'Americaine': 2, 'Saine': 1, 'Romana': 1, 'Restauration_rapide': 1, 'Napolitaine': 1, 'Lombarde': 1, 'Latium': 1, 'Italie_du_Sud': 1, 'Italie_du_Nord': 1, 'Italie_du_Centre': 1, 'Internationale': 1, 'Indienne': 1, 'Espagnole': 1, 'Chinoise': 1, 'Campanie': 1, 'Brasserie_gastronomique': 1, 'Belge': 1, 'Bar_a_vins': 1, 'Bar': 1}",4.2,4.04,3.91,3.84,2.66,0.0,2.01
Pauly972,2015,32,75,None,None,suisse,"{'Europeenne': 3, 'Saine': 1, 'Restauration_rapide': 1, 'Moderne': 1, 'Libanaise': 1, 'Italienne': 1, 'Internationale': 1, 'Francaise': 1, 'Chinoise': 1, 'Cafe': 1, 'Asiatique': 1, 'Americaine': 1}",4.25,4.38,3.89,3.88,2.53,0.0,1.84
eric-matthys,2014,13,10,None,None,france,"{'Francaise': 6, 'Europeenne': 6, 'Suisse': 1, 'Steakhouse': 1, 'Saine': 1, 'Pub': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Italienne': 1, 'Internationale': 1, 'Brasserie_gastronomique': 1, 'Bar': 1, 'Americaine': 1}",3.89,4.06,4.0,3.81,3.05,0.0,2.0
JeyJeyT,2018,9,3,None,None,france,"{'Europeenne': 4, 'Asiatique': 4, 'Thai': 2, 'Pizza': 2, 'Italienne': 2, 'Francaise': 2, 'Sushi': 1, 'Saine': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Marocaine': 1, 'Libanaise': 1, 'Japonaise': 1, 'Italie_du_Sud': 1, 'Indienne': 1, 'Campanie': 1}",4.05,4.11,4.1,3.89,3.52,0.0,1.91
famarose,2017,67,34,None,None,france,"{'Francaise': 8, 'Europeenne': 8, 'Italienne': 3, 'Pizza': 2, 'Japonaise': 2, 'Italie_du_Centre': 2, 'Asiatique': 2, 'Toscane': 1, 'Sushi': 1, 'Saine': 1, 'Mediterraneenne': 1, 'Italie_du_Sud': 1, 'Italie_du_Nord': 1, 'Internationale': 1, 'Fusion': 1, 'Bar': 1}",4.13,4.18,4.18,3.85,2.27,0.14,2.51
DO55,2008,41,20,50-64,F,france,"{'Francaise': 11, 'Europeenne': 7, 'Saine': 2, 'Pizza': 1, 'Mediterraneenne': 1, 'Italienne': 1, 'Internationale': 1}",4.09,3.78,3.75,3.33,3.26,0.26,2.61
PetiteSavoyarde,2017,35,22,35-49,F,france,"{'Francaise': 4, 'Saine': 2, 'Europeenne': 2}",4.29,4.12,4.12,3.94,0.94,0.18,2.0
DanydelaYaute,2016,43,28,None,None,None,"{'Francaise': 14, 'Europeenne': 10, 'Saine': 1, 'Moderne': 1, 'Indienne': 1, 'Bar': 1, 'Asiatique': 1}",4.36,4.39,4.35,4.01,2.96,0.35,2.3
mathieuc132,2012,82,48,None,None,france,"{'Francaise': 11, 'Europeenne': 8, 'Grillades': 3, 'Suisse': 2, 'Mediterraneenne': 2, 'Lombarde': 2, 'Italienne': 2, 'Italie_du_Nord': 2, 'Indienne': 2, 'Chinoise': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Sushi': 1, 'Saine': 1, 'Libanaise': 1, 'Japonaise': 1, 'Internationale': 1, 'Fusion': 1, 'Bar': 1}",3.89,4.04,3.89,3.67,3.16,0.09,2.0
Benige,2013,19,20,None,None,None,"{'Francaise': 4, 'Europeenne': 2, 'Saine': 1, 'Pizza': 1, 'Italienne': 1}",4.5,4.61,4.5,4.43,2.36,0.41,2.41
palmeraie225,2015,14,6,None,None,None,"{'Francaise': 5, 'Europeenne': 5, 'Mediterraneenne': 2, 'Italienne': 2, 'Vietnamienne': 1, 'Thai': 1, 'Saine': 1, 'Pizza': 1, 'Moderne': 1, 'Marocaine': 1, 'Chinoise': 1, 'Asiatique': 1}",4.14,4.22,4.22,3.97,3.42,0.08,2.14
emalisa,2016,83,52,None,None,suisse,"{'Europeenne': 17, 'Francaise': 15, 'Suisse': 9, 'Italienne': 6, 'Pizza': 5, 'Mediterraneenne': 4, 'Brasserie_gastronomique': 2, 'Bar_a_vins': 2, 'Bar': 2, 'Traiteur': 1, 'Toscane': 1, 'Saine': 1, 'Pub': 1, 'Japonaise': 1, 'Italie_du_Centre': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Bar_a_bieres': 1, 'Asiatique': 1, 'Americaine': 1}",4.06,4.08,3.96,3.71,3.09,0.1,1.98
Dhug,2010,85,40,25-34,F,france,"{'Francaise': 10, 'Europeenne': 10, 'Suisse': 4, 'Indienne': 2, 'Cafe': 2, 'Saine': 1, 'Grillades': 1, 'Bar_a_vins': 1, 'Bar': 1}",4.12,4.1,4.18,3.76,2.7,0.08,2.17
paski1959,2016,44,20,None,None,suisse,"{'Europeenne': 19, 'Francaise': 12, 'Suisse': 10, 'Steakhouse': 3, 'Restauration_rapide': 3, 'Brasserie_gastronomique': 3, 'Americaine': 3, 'Saine': 2, 'Cafe': 2, 'Thai': 1, 'Portugaise': 1, 'Internationale': 1, 'Europe_centrale': 1, 'Bar': 1, 'Asiatique': 1}",3.81,3.44,3.39,3.19,2.04,0.04,1.83
SPG77,2007,166,309,35-49,H,france,"{'Europeenne': 57, 'Francaise': 46, 'Suisse': 22, 'Italienne': 14, 'Asiatique': 14, 'Pizza': 11, 'Mediterraneenne': 11, 'Japonaise': 9, 'Americaine': 6, 'Sushi': 5, 'Fusion': 5, 'Brasserie_gastronomique': 5, 'Restauration_rapide': 4, 'Grillades': 4, 'Chinoise': 4, 'Cafe': 4, 'Steakhouse': 3, 'Saine': 3, 'Peruvienne': 3, 'Moderne': 3, 'Latino': 3, 'Internationale': 3, 'Indienne': 3, 'Europe_centrale': 3, 'Thai': 2, 'Pakistanaise': 2, 'Libanaise': 2, 'Coreenne': 2, 'Amerique_centrale': 2, 'Africaine': 2, 'Ethiopienne': 1, 'Vietnamienne': 1, 'Toscane': 1, 'Tibetaine': 1, 'Portugaise': 1, 'Nepalaise': 1, 'Napolitaine': 1, 'Mexicaine': 1, 'Italie_du_Sud': 1, 'Italie_du_Centre': 1, 'Hawaienne': 1, 'Grecque': 1, 'Espagnole': 1, 'Diner': 1, 'Campanie': 1, 'Belge': 1, 'Bar_a_vins': 1, 'Bar_a_bieres': 1, 'Bar': 1, 'Afghane': 1}",4.09,3.9,3.82,3.59,2.1,0.08,2.01
spartgirlGva,2012,68,57,25-34,F,suisse,"{'Francaise': 13, 'Europeenne': 12, 'Asiatique': 4, 'Japonaise': 3, 'Italienne': 3, 'Suisse': 2, 'Saine': 2, 'Mediterraneenne': 2, 'Thai': 1, 'Sushi': 1, 'Moderne': 1, 'Italie_du_Nord': 1, 'Internationale': 1, 'Indienne': 1, 'Chinoise': 1, 'Brasserie_gastronomique': 1, 'Americaine': 1}",4.17,4.22,4.12,3.9,3.07,0.31,2.38
StephanieT593,2012,25,20,35-49,F,france,"{'Francaise': 2, 'Saine': 1, 'Europeenne': 1}",4.5,4.5,4.5,4.0,4.0,0.57,2.57
anOuchka74_13,2013,17,11,None,None,france,"{'Francaise': 11, 'Europeenne': 8, 'Saine': 3, 'Moderne': 1, 'Asiatique': 1}",4.35,4.36,4.35,3.98,3.98,0.63,2.63
