username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
Cyril C,2010,100,243,18-24,H,suisse,"{'Thai': 1, 'Suisse': 1, 'Internationale': 1, 'Grillades': 1, 'Europeenne': 1, 'Chinoise': 1, 'Asiatique': 1}",3.0,3.0,3.0,3.25,3.5,0.0,1.5
stowkathrine,2018,1,1,None,None,suisse,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,0.0,0.0,2.0
AlisonMurray88,2019,5,4,None,None,None,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,0.0,0.0,2.0
renes697,2014,10,8,None,None,suisse,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,0.0,0.0,2.0
s_derungs,2015,55,94,None,None,suisse,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,0.0,0.0,2.0
YO20_LO18,2012,26,18,None,None,suisse,"{'Mediterraneenne': 1, 'Libanaise': 1, 'Chinoise': 1, 'Asiatique': 1}",3.69,3.69,3.58,3.27,0.0,0.0,2.0
989ewelinaz,2010,7,5,None,None,suisse,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,0.0,0.0,2.0
Lucie R,2013,13,12,None,None,suisse,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,0.0,0.0,2.0
Joan R,2015,116,47,None,None,suisse,"{'Europeenne': 4, 'Europe_centrale': 4, 'Suisse': 3, 'Americaine': 3, 'Soupes': 2, 'Saine': 2, 'Italienne': 2, 'Internationale': 2, 'Bar': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Restauration_rapide': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Mexicaine': 1, 'Libanaise': 1, 'Latino': 1, 'Hawaienne': 1, 'Fusion': 1, 'Chinoise': 1, 'Cafe': 1, 'Amerique_centrale': 1}",4.16,4.3,4.1,3.87,1.34,0.05,1.87
Spinal333,2011,9,183,None,None,suisse,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,0.0,0.0,2.0
785leoj,2017,1,1,None,None,suisse,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,0.0,0.0,2.0
nadinecrystal,2018,3,2,None,None,suisse,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,0.0,0.0,2.0
329AnnaA329,2013,28,15,None,None,suisse,"{'Moderne': 1, 'Francaise': 1, 'Europeenne': 1, 'Chinoise': 1, 'Asiatique': 1}",3.86,3.86,3.86,3.5,2.86,0.0,2.71
Guest_ZurichParis,2009,6,62,None,None,None,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,0.0,0.0,2.0
"tobyfelderLondres, ",2010,10,8,25-34,None,royaume-uni,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,0.0,0.0,2.0
Ambergatekirsten,2006,21,79,35-49,F,None,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,0.0,0.0,2.0
