username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
estavayer,2012,13,10,None,None,None,"{'Asiatique': 3, 'Francaise': 2, 'Europeenne': 2, 'Suisse': 1, 'Pizza': 1, 'Japonaise': 1, 'Indienne': 1, 'Chinoise': 1}",4.04,4.12,3.83,3.94,2.33,0.0,1.75
DebbieTestaburger,2009,100,81,25-34,F,None,"{'Suisse': 1, 'Japonaise': 1, 'Europeenne': 1}",4.28,1.78,1.78,1.56,2.0,0.0,2.0
abel00,2008,9,14,25-34,H,suisse,"{'Francaise': 2, 'Europeenne': 2, 'Suisse': 1, 'Saine': 1, 'Moderne': 1, 'Japonaise': 1, 'Internationale': 1, 'Diner': 1, 'Asiatique': 1}",4.54,4.69,4.54,4.38,2.46,0.38,2.0
Rikao0312,2013,16,12,None,None,suisse,"{'Europeenne': 4, 'Francaise': 3, 'Soupes': 1, 'Saine': 1, 'Pizza': 1, 'Napolitaine': 1, 'Moderne': 1, 'Japonaise': 1, 'Italienne': 1, 'Italie_du_Sud': 1, 'Internationale': 1, 'Diner': 1, 'Campanie': 1, 'Asiatique': 1}",4.11,4.5,4.11,3.92,3.53,0.11,2.0
Guerreiro1964,2015,9,2,None,None,suisse,"{'Europeenne': 7, 'Suisse': 4, 'Italienne': 4, 'Pizza': 3, 'Steakhouse': 1, 'Portugaise': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Francaise': 1, 'Espagnole': 1, 'Bresilienne': 1, 'Asiatique': 1}",3.91,4.04,3.91,3.78,3.01,0.0,2.0
fairyleItalie,2011,62,40,None,None,italie,"{'Suisse': 2, 'Pizza': 2, 'Italienne': 2, 'Europeenne': 2, 'Sushi': 1, 'Pub': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Chinoise': 1, 'Bar': 1}",3.85,2.88,2.94,2.76,2.59,0.0,1.35
"AnGeLe2000Exeter, ",2014,50,17,None,None,royaume-uni,"{'Europeenne': 3, 'Suisse': 2, 'Bar': 2, 'Americaine': 2, 'Turque': 1, 'Traiteur': 1, 'Sushi': 1, 'Japonaise': 1, 'Francaise': 1, 'Asiatique': 1}",4.32,4.26,4.19,4.13,2.63,0.0,1.87
RobertoI1066,2016,3,2,None,None,espagne,"{'Europeenne': 2, 'Suisse': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italienne': 1, 'Francaise': 1, 'Asiatique': 1}",4.1,4.2,3.9,3.8,2.4,0.0,2.6
GenevaFood,2016,4,2,18-24,F,suisse,"{'Saine': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italienne': 1, 'Internationale': 1, 'Europeenne': 1, 'Bar_a_bieres': 1, 'Bar': 1, 'Asiatique': 1}",4.26,4.37,4.13,4.0,3.08,0.0,2.26
Orelita,2013,256,93,25-34,F,france,"{'Sushi': 1, 'Japonaise': 1, 'Europeenne': 1, 'Cafe': 1, 'Bar': 1, 'Asiatique': 1}",3.5,3.5,3.2,2.9,3.7,0.0,2.0
